x  y
   -0.6863    1.0000
   -0.6763    0.0000
   -0.6663    0.0000
   -0.6563    0.0000
   -0.6463    0.0000
   -0.6363    0.0000
   -0.6263    0.0000
   -0.6163    1.0000
   -0.6063    0.0000
   -0.5963    0.0000
   -0.5863    0.0000
   -0.5763    1.0000
   -0.5663    0.0000
   -0.5563    0.0000
   -0.5463    0.0000
   -0.5363    2.0000
   -0.5263    1.0000
   -0.5163    2.0000
   -0.5063    1.0000
   -0.4963    1.0000
   -0.4863    0.0000
   -0.4763    0.0000
   -0.4663    1.0000
   -0.4563    4.0000
   -0.4463    1.0000
   -0.4363    2.0000
   -0.4263    2.0000
   -0.4163    4.0000
   -0.4063    3.0000
   -0.3963    4.0000
   -0.3863    6.0000
   -0.3763   10.0000
   -0.3663   10.0000
   -0.3563   11.0000
   -0.3463   17.0000
   -0.3363   19.0000
   -0.3263   42.0000
   -0.3163   50.0000
   -0.3063   63.0000
   -0.2963  108.0000
   -0.2863  170.0000
   -0.2763  257.0000
   -0.2663  441.0000
   -0.2563  624.0000
   -0.2463  981.0000
   -0.2363 1367.0000
   -0.2263 1941.0000
   -0.2163 2496.0000
   -0.2063 3095.0000
   -0.1963 3713.0000
   -0.1863 3949.0000
   -0.1763 4219.0000
   -0.1663 4095.0000
   -0.1563 3844.0000
   -0.1463 3377.0000
   -0.1363 2835.0000
   -0.1263 2283.0000
   -0.1163 1844.0000
   -0.1063 1423.0000
   -0.0963 1135.0000
   -0.0863  900.0000
   -0.0763  748.0000
   -0.0663  557.0000
   -0.0563  438.0000
   -0.0463  375.0000
   -0.0363  320.0000
   -0.0263  270.0000
   -0.0163  216.0000
   -0.0063  195.0000
    0.0037  126.0000
    0.0137  129.0000
    0.0237  106.0000
    0.0337   89.0000
    0.0437   92.0000
    0.0537   68.0000
    0.0637   60.0000
    0.0737   36.0000
    0.0837   45.0000
    0.0937   36.0000
    0.1037   31.0000
    0.1137   19.0000
    0.1237   19.0000
    0.1337   18.0000
    0.1437   16.0000
    0.1537   19.0000
    0.1637   18.0000
    0.1737    7.0000
    0.1837   11.0000
    0.1937    8.0000
    0.2037   11.0000
    0.2137   14.0000
    0.2237    6.0000
    0.2337    4.0000
    0.2437    4.0000
    0.2537    9.0000
    0.2637    9.0000
    0.2737    5.0000
    0.2837    7.0000
    0.2937    4.0000
    0.3037    1.0000
    0.3137    4.0000
    0.3237    3.0000
    0.3337    2.0000
    0.3437    4.0000
    0.3537    1.0000
    0.3637    4.0000
    0.3737    1.0000
    0.3837    3.0000
    0.3937    1.0000
    0.4037    1.0000
    0.4137    2.0000
    0.4237    3.0000
    0.4337    1.0000
    0.4437    2.0000
    0.4537    3.0000
    0.4637    4.0000
    0.4737    1.0000
    0.4837    1.0000
    0.4937    0.0000
    0.5037    1.0000
    0.5137    0.0000
    0.5237    2.0000
    0.5337    0.0000
    0.5437    1.0000
    0.5537    2.0000
    0.5637    0.0000
    0.5737    2.0000
    0.5837    0.0000
    0.5937    1.0000
    0.6037    0.0000
    0.6137    0.0000
    0.6237    1.0000
    0.6337    0.0000
    0.6437    0.0000
    0.6537    2.0000
    0.6637    2.0000
    0.6737    1.0000
    0.6837    0.0000
    0.6937    0.0000
    0.7037    0.0000
    0.7137    1.0000
    0.7237    0.0000
    0.7337    1.0000
    0.7437    0.0000
    0.7537    0.0000
    0.7637    0.0000
    0.7737    0.0000
    0.7837    2.0000
    0.7937    1.0000
    0.8037    0.0000
    0.8137    0.0000
    0.8237    1.0000
    0.8337    0.0000
    0.8437    0.0000
    0.8537    0.0000
    0.8637    0.0000
    0.8737    0.0000
    0.8837    0.0000
    0.8937    0.0000
    0.9037    0.0000
    0.9137    0.0000
    0.9237    0.0000
    0.9337    0.0000
    0.9437    0.0000
    0.9537    0.0000
    0.9637    0.0000
    0.9737    0.0000
    0.9837    0.0000
    0.9937    0.0000
    1.0037    0.0000
    1.0137    0.0000
    1.0237    0.0000
    1.0337    0.0000
    1.0437    0.0000
    1.0537    0.0000
    1.0637    0.0000
    1.0737    0.0000
    1.0837    0.0000
    1.0937    0.0000
    1.1037    0.0000
    1.1137    0.0000
    1.1237    0.0000
    1.1337    0.0000
    1.1437    0.0000
    1.1537    0.0000
    1.1637    0.0000
    1.1737    0.0000
    1.1837    1.0000
