changrenchiao,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014/1/1 上午 12:00:00,0.34,0.20,0.13,0.11,0.12,0.12,0.18,0.29,0.33,0.33,0.34,0.32,0.33,0.34,0.34,0.48,0.67,0.86,0.96,1.01,1.01,1.01,0.89,0.66
2014/1/2 上午 12:00:00,0.46,0.27,0.15,0.10,0.11,0.11,0.12,0.22,0.28,0.32,0.31,0.31,0.30,0.32,0.32,0.35,0.54,0.74,0.91,1.01,1.04,1.04,1.03,0.86
2014/1/3 上午 12:00:00,0.61,0.42,0.24,0.14,0.12,0.11,0.11,0.17,0.26,0.32,0.32,0.32,0.33,0.33,0.33,0.32,0.37,0.58,0.74,0.89,0.97,0.98,0.98,0.95
2014/1/4 上午 12:00:00,0.75,0.53,0.35,0.18,0.11,0.10,0.10,0.11,0.18,0.28,0.33,0.34,0.35,0.34,0.35,0.35,0.35,0.36,0.49,0.64,0.77,0.83,0.84,0.84
2014/1/5 上午 12:00:00,0.82,0.62,0.41,0.28,0.15,0.12,0.11,0.12,0.12,0.21,0.32,0.38,0.39,0.39,0.40,0.40,0.39,0.39,0.39,0.46,0.60,0.67,0.71,0.73
2014/1/6 上午 12:00:00,0.73,0.73,0.64,0.49,0.40,0.32,0.30,0.30,0.30,0.30,0.34,0.42,0.46,0.48,0.48,0.48,0.47,0.48,0.48,0.47,0.47,0.52,0.57,0.60
2014/1/7 上午 12:00:00,0.61,0.61,0.61,0.60,0.53,0.44,0.38,0.36,0.36,0.36,0.36,0.36,0.46,0.52,0.52,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.51
2014/1/8 上午 12:00:00,0.52,0.52,0.51,0.51,0.51,0.48,0.43,0.39,0.37,0.38,0.38,0.39,0.44,0.53,0.57,0.59,0.59,0.59,0.60,0.58,0.53,0.53,0.53,0.53
2014/1/9 上午 12:00:00,0.52,0.52,0.52,0.52,0.52,0.51,0.45,0.41,0.38,0.36,0.37,0.37,0.44,0.49,0.51,0.53,0.56,0.57,0.56,0.54,0.46,0.41,0.40,0.40
2014/1/10 上午 12:00:00,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.41,0.46,0.58,0.64,0.68,0.68,0.67,0.67,0.62,0.50,0.42,0.38
2014/1/11 上午 12:00:00,0.37,0.36,0.36,0.37,0.36,0.36,0.37,0.37,0.36,0.35,0.36,0.37,0.37,0.42,0.53,0.62,0.65,0.67,0.68,0.68,0.68,0.57,0.44,0.34
2014/1/12 上午 12:00:00,0.28,0.26,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.25,0.25,0.26,0.27,0.38,0.50,0.61,0.66,0.75,0.76,0.76,0.74,0.60,0.46,0.32
2014/1/13 上午 12:00:00,0.22,0.18,0.18,0.18,0.18,0.18,0.18,0.20,0.22,0.23,0.21,0.24,0.23,0.32,0.43,0.58,0.70,0.76,0.72,0.69,0.69,0.60,0.44,0.30
2014/1/14 上午 12:00:00,0.19,0.12,0.10,0.10,0.10,0.10,0.10,0.15,0.16,0.17,0.17,0.17,0.17,0.18,0.23,0.37,0.51,0.62,0.67,0.67,0.67,0.65,0.51,0.34
2014/1/15 上午 12:00:00,0.19,0.09,0.05,0.05,0.04,0.04,0.04,0.09,0.14,0.16,0.16,0.16,0.18,0.20,0.22,0.41,0.49,0.62,0.72,0.75,0.75,0.74,0.72,0.56
2014/1/16 上午 12:00:00,0.40,0.25,0.17,0.14,0.14,0.14,0.14,0.14,0.17,0.17,0.17,0.19,0.18,0.20,0.18,0.21,0.34,0.49,0.57,0.64,0.66,0.66,0.66,0.59
2014/1/17 上午 12:00:00,0.42,0.28,0.15,0.09,0.08,0.09,0.09,0.08,0.12,0.14,0.15,0.15,0.17,0.16,0.18,0.16,0.24,0.39,0.50,0.57,0.62,0.62,0.62,0.61
2014/1/18 上午 12:00:00,0.48,0.33,0.19,0.10,0.07,0.07,0.07,0.07,0.07,0.10,0.15,0.18,0.18,0.17,0.16,0.18,0.19,0.27,0.40,0.53,0.58,0.58,0.58,0.58
2014/1/19 上午 12:00:00,0.52,0.40,0.26,0.17,0.14,0.14,0.14,0.14,0.14,0.19,0.24,0.25,0.26,0.26,0.28,0.28,0.27,0.28,0.36,0.49,0.56,0.56,0.56,0.56
2014/1/20 上午 12:00:00,0.56,0.53,0.42,0.27,0.20,0.17,0.16,0.16,0.16,0.23,0.27,0.28,0.29,0.28,0.28,0.30,0.30,0.30,0.30,0.37,0.48,0.53,0.53,0.52
2014/1/21 上午 12:00:00,0.52,0.53,0.47,0.36,0.26,0.22,0.21,0.21,0.21,0.22,0.23,0.26,0.27,0.28,0.29,0.29,0.29,0.33,0.34,0.34,0.35,0.41,0.42,0.44
2014/1/22 上午 12:00:00,0.43,0.43,0.44,0.37,0.28,0.23,0.22,0.22,0.22,0.22,0.24,0.33,0.35,0.35,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
2014/1/23 上午 12:00:00,0.36,0.37,0.36,0.36,0.36,0.35,0.30,0.30,0.29,0.29,0.30,0.31,0.39,0.40,0.41,0.41,0.41,0.42,0.41,0.41,0.40,0.41,0.41,0.41
2014/1/24 上午 12:00:00,0.41,0.40,0.40,0.40,0.40,0.40,0.37,0.35,0.34,0.34,0.34,0.34,0.38,0.44,0.48,0.50,0.49,0.48,0.49,0.46,0.40,0.36,0.36,0.36
2014/1/25 上午 12:00:00,0.36,0.36,0.36,0.35,0.36,0.35,0.35,0.36,0.35,0.36,0.36,0.36,0.42,0.54,0.56,0.58,0.59,0.59,0.60,0.55,0.44,0.36,0.31,0.30
2014/1/26 上午 12:00:00,0.29,0.30,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.27,0.28,0.30,0.35,0.44,0.54,0.59,0.64,0.64,0.64,0.62,0.46,0.32,0.22,0.17
2014/1/27 上午 12:00:00,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.16,0.26,0.39,0.52,0.59,0.66,0.69,0.69,0.69,0.63,0.47,0.29,0.17
